trace                      budget      sel resident  recall jaccard   WS@16   pred sink/loc
-------------------------------------------------------------------------------------------
q05_code_16k_b64             1.6% per_head     6.6%   0.813   0.448   24.0%  0.611    22.7%
q05_code_16k_b64             1.6%   shared     1.6%   0.740   0.646    4.7%  0.656    70.0%
q05_code_16k_b64             6.2% per_head    28.1%   0.918   0.601   60.4%  0.743     6.4%
q05_code_16k_b64             6.2%   shared     6.3%   0.821   0.523   20.0%  0.674    21.8%
q05_code_16k_b64            12.5% per_head    46.3%   0.959   0.699   77.2%  0.820     4.0%
q05_code_16k_b64            12.5%   shared    12.5%   0.870   0.542   34.0%  0.733    11.6%
q05_code_16k_b64            25.0% per_head    69.1%   0.986   0.813   91.8%  0.892     2.7%
q05_code_16k_b64            25.0%   shared    25.1%   0.923   0.618   53.6%  0.783     6.4%

q05_continue_16k_b64         1.6% per_head     4.9%   0.807   0.546   18.0%  0.674    41.6%
q05_continue_16k_b64         1.6%   shared     1.6%   0.718   0.855    2.4%  0.875    95.6%
q05_continue_16k_b64         6.2% per_head    22.3%   0.916   0.624   53.8%  0.730     9.1%
q05_continue_16k_b64         6.2%   shared     6.3%   0.844   0.722   14.2%  0.820    30.0%
q05_continue_16k_b64        12.5% per_head    41.7%   0.956   0.683   77.8%  0.811     4.8%
q05_continue_16k_b64        12.5%   shared    12.5%   0.893   0.696   28.8%  0.814    15.2%
q05_continue_16k_b64        25.0% per_head    69.3%   0.986   0.800   94.4%  0.887     2.8%
q05_continue_16k_b64        25.0%   shared    25.1%   0.935   0.671   56.4%  0.835     7.7%

q05_qa_16k_b128              1.6% per_head     3.4%   0.813   0.664   11.0%  0.687    60.3%
q05_qa_16k_b128              1.6%   shared     1.6%   0.752   0.941    2.1%  0.958    95.1%
q05_qa_16k_b128              6.2% per_head    28.4%   0.919   0.601   66.2%  0.721     8.2%
q05_qa_16k_b128              6.2%   shared     6.2%   0.843   0.584   18.9%  0.703    31.6%
q05_qa_16k_b128             12.5% per_head    49.4%   0.958   0.704   83.8%  0.788     4.7%
q05_qa_16k_b128             12.5%   shared    12.5%   0.880   0.586   33.8%  0.708    17.0%
q05_qa_16k_b128             25.0% per_head    73.8%   0.985   0.826   94.9%  0.882     3.2%
q05_qa_16k_b128             25.0%   shared    25.0%   0.923   0.645   54.9%  0.766     8.9%

q05_qa_16k_b16               1.6% per_head     8.9%   0.879   0.488   31.5%  0.568    13.6%
q05_qa_16k_b16               1.6%   shared     1.6%   0.819   0.524    6.3%  0.615    38.0%
