poll 1: mean=70(best 70)/600 marginal=252(best 252)/360
poll 2: mean=80(best 80)/600 marginal=264(best 264)/360
poll 3: mean=100(best 100)/600 marginal=276(best 276)/360
poll 4: mean=120(best 120)/600 marginal=294(best 294)/360
poll 5: mean=130(best 130)/600 marginal=306(best 306)/360
poll 6: mean=150(best 150)/600 marginal=324(best 324)/360
poll 7: mean=170(best 170)/600 marginal=336(best 336)/360
poll 8: mean=180(best 180)/600 marginal=348(best 348)/360
poll 9: mean=200(best 200)/600 marginal=360(best 360)/360
poll 10: mean=220(best 220)/600 marginal=360(best 360)/360
poll 11: mean=230(best 230)/600 marginal=360(best 360)/360
poll 12: mean=250(best 250)/600 marginal=360(best 360)/360
poll 13: mean=270(best 270)/600 marginal=360(best 360)/360
poll 14: mean=290(best 290)/600 marginal=360(best 360)/360
poll 15: mean=300(best 300)/600 marginal=360(best 360)/360
poll 16: mean=320(best 320)/600 marginal=360(best 360)/360
poll 17: mean=340(best 340)/600 marginal=360(best 360)/360
poll 18: mean=350(best 350)/600 marginal=360(best 360)/360
poll 19: mean=370(best 370)/600 marginal=360(best 360)/360
poll 20: mean=390(best 390)/600 marginal=360(best 360)/360
poll 21: mean=400(best 400)/600 marginal=360(best 360)/360
poll 22: mean=420(best 420)/600 marginal=360(best 360)/360
poll 23: mean=440(best 440)/600 marginal=360(best 360)/360
poll 24: mean=450(best 450)/600 marginal=360(best 360)/360
poll 25: mean=450(best 450)/600 marginal=360(best 360)/360
poll 26: mean=20(best 450)/600 marginal=360(best 360)/360
poll 27: mean=40(best 450)/600 marginal=360(best 360)/360
poll 28: mean=60(best 450)/600 marginal=360(best 360)/360
poll 29: mean=80(best 450)/600 marginal=360(best 360)/360
poll 30: mean=100(best 450)/600 marginal=360(best 360)/360
poll 31: mean=120(best 450)/600 marginal=360(best 360)/360
poll 32: mean=140(best 450)/600 marginal=360(best 360)/360
poll 33: mean=160(best 450)/600 marginal=360(best 360)/360
poll 34: mean=180(best 450)/600 marginal=360(best 360)/360
poll 35: mean=190(best 450)/600 marginal=360(best 360)/360
poll 36: mean=210(best 450)/600 marginal=360(best 360)/360
poll 37: mean=230(best 450)/600 marginal=360(best 360)/360
poll 38: mean=250(best 450)/600 marginal=360(best 360)/360
poll 39: mean=270(best 450)/600 marginal=360(best 360)/360
poll 40: mean=290(best 450)/600 marginal=360(best 360)/360
poll 41: mean=310(best 450)/600 marginal=360(best 360)/360
poll 42: mean=330(best 450)/600 marginal=360(best 360)/360
poll 43: mean=350(best 450)/600 marginal=360(best 360)/360
poll 44: mean=360(best 450)/600 marginal=360(best 360)/360
poll 45: mean=380(best 450)/600 marginal=360(best 360)/360
poll 46: mean=400(best 450)/600 marginal=360(best 360)/360
poll 47: mean=420(best 450)/600 marginal=360(best 360)/360
poll 48: mean=440(best 450)/600 marginal=360(best 360)/360
poll 49: mean=460(best 460)/600 marginal=360(best 360)/360
poll 50: mean=480(best 480)/600 marginal=360(best 360)/360
poll 51: mean=500(best 500)/600 marginal=360(best 360)/360
poll 52: mean=520(best 520)/600 marginal=360(best 360)/360
poll 53: mean=540(best 540)/600 marginal=360(best 360)/360
poll 54: mean=550(best 550)/600 marginal=360(best 360)/360
poll 55: mean=570(best 570)/600 marginal=360(best 360)/360
poll 56: mean=590(best 590)/600 marginal=360(best 360)/360
poll 57: mean=600(best 600)/600 marginal=360(best 360)/360
BOTHCOMPLETE
